Pricing_Record_ID,NDC,Pricing_Methodology,Unit_Price,Package_Price,Effective_Date,End_Date,Source_System,Last_Updated
PRC0000105,13608623051,Contract Rate,4.5117,103.77,2023-04-16,2024-06-26,PricingFeedA,2026-07-26
PRC0000106,99873357727,AWP,6.3141,530.38,2025-04-03,2025-11-08,PricingFeedA,2025-04-03
PRC0000107,60856152434,WAC,15.6903,1396.44,2026-01-13,2027-09-02,PricingFeedA,2025-05-29
PRC0000108,48051460965,MAC,1.8838,24.49,2026-01-01,2026-12-25,PricingFeedA,2025-02-15
PRC0000109,84799902623,NADAC,6.7609,655.81,2025-12-31,2027-12-13,PricingFeedB,2025-12-06
PRC0000110,59783584950,NADAC,60.8137,5108.35,2024-12-16,2025-11-28,PricingFeedA,2026-02-17
PRC0000111,20698353031,WAC,4.2159,164.42,2023-10-24,2024-06-09,PricingFeedB,2025-09-03
PRC0000112,11616709896,AWP,0.9917,13.88,2024-02-10,2025-10-23,PricingFeedB,2025-06-29
PRC0000113,62299475227,AWP,0.9516,81.84,2023-10-03,2025-07-27,PricingFeedB,2025-05-16
PRC0000114,74737938088,Contract Rate,16.8669,573.47,2025-08-02,2025-12-08,PricingFeedA,2025-07-09
PRC0000115,77464349998,MAC,4.6425,413.18,2026-04-04,2028-01-02,PricingFeedB,2025-09-23
PRC0000116,40943424631,Contract Rate,9.3247,531.51,2023-09-30,2024-08-25,PricingFeedB,2025-11-28
PRC0000117,38721413264,AWP,5.7975,260.89,2023-07-06,2025-05-23,PricingFeedA,2025-03-15
PRC0000118,73046419016,WAC,6.4555,639.09,2025-11-07,2027-10-18,PricingFeedB,2025-12-08
PRC0000119,33948932149,WAC,60.9062,2679.87,2023-03-25,2024-08-27,PricingFeedA,2025-01-11
PRC0000120,87245844734,MAC,3.3074,224.9,2026-04-08,2026-09-28,PricingFeedA,2026-03-31
PRC0000121,39273980031,WAC,2.481,62.02,2026-01-26,2027-02-02,PricingFeedA,2026-01-25
PRC0000122,86150728282,MAC,0.6628,58.99,2025-12-19,2026-03-24,PricingFeedB,2025-04-04
PRC0000123,86832223497,Contract Rate,,1202.81,2024-08-22,2025-01-08,PricingFeedA,2025-11-03
PRC0000124,24069146482,AWP,23.343,2217.59,2023-05-06,2024-12-11,PricingFeedB,2025-05-11
PRC0000125,97763307131,WAC,2.2582,79.04,2025-12-29,2027-06-15,PricingFeedA,2025-04-03
PRC0000126,46449302181,MAC,10.4185,614.69,2025-04-23,2026-03-17,PricingFeedA,2025-11-26
PRC0000127,80822802269,AWP,8.3568,493.05,2023-03-05,2024-08-24,PricingFeedB,2025-11-28
PRC0000128,95762624064,Contract Rate,4.4666,379.66,2023-03-13,2024-05-29,PricingFeedA,2025-07-02
PRC0000129,48777918537,MAC,2.1104,204.71,2025-06-01,2026-05-28,PricingFeedA,2025-01-25
PRC0000130,99282121398,MAC,5.3405,293.73,2025-02-05,2025-12-08,PricingFeedA,2025-09-20
PRC0000131,12131959374,MAC,15.4338,432.15,2025-04-18,2025-07-27,PricingFeedA,2025-12-01
PRC0000132,95141181032,MAC,8.176,114.46,2024-03-31,2024-09-05,PricingFeedB,2025-09-22
PRC0000133,58257248865,NADAC,4.6286,319.37,2025-10-09,2027-03-20,PricingFeedB,2025-01-21
PRC0000134,24959442831,MAC,42.5336,2466.95,2026-02-03,2027-03-16,PricingFeedA,2025-09-19
PRC0000135,93234720318,MAC,20.7089,1283.95,2024-01-23,2024-08-11,PricingFeedB,2025-08-26
PRC0000136,38649367251,Contract Rate,34.4734,413.68,2024-05-27,2026-02-06,PricingFeedA,2026-01-16
PRC0000137,41367605024,MAC,50.4273,3933.33,2024-04-07,2025-03-25,PricingFeedA,2026-03-12
PRC0000138,21137610492,MAC,2.0538,98.58,2025-11-03,2027-10-02,PricingFeedA,2025-05-21
PRC0000139,97162450186,AWP,23.0978,623.64,2024-09-20,2025-11-04,PricingFeedB,2026-05-04
PRC0000140,35251160755,MAC,0.8372,59.44,2025-03-22,2025-11-22,PricingFeedA,2025-05-04
PRC0000141,13608623051,WAC,10.9377,393.76,2023-08-21,2024-02-06,PricingFeedA,2025-09-14
PRC0000142,44770351942,WAC,5.2254,198.57,2023-02-25,2024-12-06,PricingFeedA,2025-03-24
PRC0000143,49954258793,MAC,3.5149,189.8,2023-10-04,2025-07-29,PricingFeedA,2026-08-15
PRC0000144,36527120523,Contract Rate,6.9991,412.95,2024-08-19,2026-04-16,PricingFeedA,2025-04-21
PRC0000145,61820941754,NADAC,12.6394,278.07,2023-04-10,2024-09-28,PricingFeedA,2025-12-02
PRC0000146,60844107060,AWP,10.405,187.29,2024-04-12,2024-12-11,PricingFeedA,2026-06-17
PRC0000147,79510138828,Contract Rate,3.2321,226.25,2025-07-06,2027-05-21,PricingFeedB,2025-02-28
PRC0000148,25904761313,MAC,4.7983,273.5,2024-05-17,2026-03-17,PricingFeedB,2026-04-17
PRC0000149,36099200846,AWP,2.4729,56.88,2023-11-11,2024-09-10,PricingFeedA,2026-01-03
PRC0000150,26665254060,WAC,4.998,359.86,2026-04-08,2027-01-21,PricingFeedA,2026-02-28
PRC0000151,12914717458,AWP,68.4585,3765.22,2024-07-23,2025-07-12,PricingFeedB,2026-02-03
PRC0000152,76115147727,WAC,9.2746,881.09,2024-05-15,2024-12-10,PricingFeedB,2026-01-28
PRC0000153,96688660979,NADAC,15.1727,986.23,2024-12-21,2026-06-04,PricingFeedB,2026-07-05
PRC0000154,29471563846,MAC,9.7515,906.89,2024-09-23,2026-07-24,PricingFeedA,2026-08-02
PRC0000155,52259816026,AWP,6.7104,509.99,2026-01-19,2027-01-07,PricingFeedA,2026-05-27
PRC0000156,33036992193,NADAC,9.4361,764.32,2023-04-16,2024-07-30,PricingFeedB,2025-11-28
PRC0000157,96685314635,Contract Rate,9.7078,407.73,2026-03-29,2028-01-11,PricingFeedB,2026-07-18
PRC0000158,33502745180,MAC,9.7033,194.07,2023-06-26,2025-03-06,PricingFeedA,2026-04-11
PRC0000159,10581609776,AWP,2.1145,183.96,2023-05-24,2025-03-19,PricingFeedA,2026-07-08
PRC0000160,14041368848,WAC,8.2545,792.43,2023-01-21,2023-06-24,PricingFeedA,2025-05-25
PRC0000161,36001690590,WAC,7.3475,565.76,2025-11-24,2027-08-02,PricingFeedA,2026-06-06
PRC0000162,89864963195,AWP,7.5953,569.65,2024-06-02,2025-05-16,PricingFeedB,2025-11-02
PRC0000163,97142643090,AWP,4.7391,331.74,2024-08-22,2025-04-24,PricingFeedB,2025-06-20
PRC0000164,58257248865,MAC,8.84,371.28,2024-04-11,2024-08-01,PricingFeedA,2025-03-10
PRC0000165,58257248865,WAC,205.9168,4942.0,2023-02-19,2024-12-17,PricingFeedB,2025-06-26
PRC0000166,33167573583,WAC,7.6682,444.76,2025-03-15,2025-06-17,PricingFeedB,2026-03-21
PRC0000167,92965682838,NADAC,3.0875,253.17,2023-01-27,2023-06-17,PricingFeedA,2025-12-11
PRC0000168,93026770242,NADAC,21.3899,834.21,2024-04-11,2025-01-15,PricingFeedA,2025-02-21
PRC0000169,61425622844,Contract Rate,7.5682,128.66,2025-03-05,2025-08-09,PricingFeedA,2026-07-19
PRC0000170,97829657184,MAC,5.014,330.92,2025-01-09,2026-02-24,PricingFeedA,2026-07-22
PRC0000171,96012885450,WAC,70.4808,5638.46,2025-10-05,2027-07-15,PricingFeedB,2026-01-04
PRC0000172,78677417938,AWP,29.4403,1324.81,2024-01-09,2024-10-07,PricingFeedB,2026-01-20
PRC0000173,67413273786,AWP,2.6765,173.97,2026-02-22,2026-11-14,PricingFeedB,2026-01-11
PRC0000174,58914968790,Contract Rate,6.5065,149.65,2025-05-01,2025-10-25,PricingFeedB,2025-02-10
PRC0000175,15897986050,Contract Rate,3.0887,120.46,2023-04-22,2023-09-29,PricingFeedB,2025-06-12
PRC0000176,17029875612,MAC,28.5286,1283.79,2023-11-30,2024-06-10,PricingFeedA,2025-11-12
PRC0000177,74618978456,NADAC,47.937,1486.05,2025-10-21,2027-09-19,PricingFeedB,2026-06-29
PRC0000178,10731878875,NADAC,13.1156,1259.1,2023-01-26,2024-10-01,PricingFeedA,2025-06-23
PRC0000179,73418540749,AWP,14.6008,160.61,2025-11-21,2026-04-27,PricingFeedB,2026-04-27
PRC0000180,92233526721,NADAC,26.6895,2241.92,2023-08-02,2024-12-23,PricingFeedA,2025-01-28
PRC0000181,19696653191,MAC,3.9233,62.77,2023-04-26,2023-11-22,PricingFeedB,2026-05-02
PRC0000182,37085218953,Contract Rate,12.6486,1163.67,2025-10-13,2027-03-27,PricingFeedA,2025-03-29
PRC0000183,99706788130,Contract Rate,29.5508,1684.4,2024-11-28,2025-12-31,PricingFeedB,2025-06-12
PRC0000184,73812149827,NADAC,26.631,1597.86,2025-07-05,2027-02-23,PricingFeedB,2025-07-01
PRC0000185,60804702793,Contract Rate,37.4843,1986.67,2023-12-06,2024-03-12,PricingFeedA,2025-03-01
PRC0000186,48887377765,AWP,2.4326,92.44,2026-01-12,2027-03-31,PricingFeedB,2026-07-27
PRC0000187,21243727554,AWP,3.55,244.95,2023-04-30,2024-05-19,PricingFeedA,2026-04-28
PRC0000188,84458290728,WAC,33.7439,2395.82,2023-01-10,2023-09-06,PricingFeedA,2025-04-25
PRC0000189,36163874460,MAC,120.0214,4080.73,2025-04-24,2027-03-12,PricingFeedB,2025-11-27
PRC0000190,94599568355,AWP,7.6818,752.82,2025-02-10,2026-12-06,PricingFeedB,2026-04-06
PRC0000191,12871210416,AWP,3.4961,73.42,2024-08-23,2025-08-04,PricingFeedB,2025-07-23
PRC0000192,98558768029,MAC,7.1059,632.43,2025-06-19,2027-02-18,PricingFeedA,2025-07-09
PRC0000193,96515232917,Contract Rate,4.1385,124.15,2025-08-23,2026-08-14,PricingFeedB,2025-04-07
PRC0000194,43371264292,Contract Rate,20.1784,807.14,2024-05-31,2026-04-01,PricingFeedA,2026-03-24
PRC0000195,36527120523,MAC,7.2875,553.85,2024-10-17,2025-01-15,PricingFeedA,2025-08-29
PRC0000196,96338320268,MAC,5.6108,342.26,2023-12-21,2025-01-28,PricingFeedB,2026-07-07
PRC0000197,73362282174,NADAC,15.5161,760.29,2024-09-16,2024-12-17,PricingFeedA,2025-03-13
PRC0000198,34027958339,AWP,5.2591,399.69,2023-02-20,2024-03-26,PricingFeedA,2025-09-19
PRC0000199,11417343618,MAC,22.1384,531.32,2025-05-02,2026-09-25,PricingFeedA,2025-09-14
PRC0000200,16463469022,WAC,4.9509,391.12,2024-12-11,2025-04-08,PricingFeedB,2025-02-13
PRC0000201,11616709896,Contract Rate,10.4457,1023.68,2026-05-07,2028-02-09,PricingFeedB,2025-02-14
PRC0000202,92043205735,NADAC,3.1474,59.8,2026-02-10,2026-10-18,PricingFeedB,2025-11-15
PRC0000203,78831371488,WAC,1.4347,117.65,2025-11-14,2026-02-24,PricingFeedB,2025-12-31
PRC0000204,40842594127,Contract Rate,4.7939,302.02,2024-02-22,2024-09-25,PricingFeedA,2026-03-28
PRC0000205,40837522788,NADAC,8.1095,567.67,2026-04-01,2027-02-10,PricingFeedA,2026-07-22
PRC0000206,24959442831,MAC,38.8309,660.13,2025-05-05,2026-02-12,PricingFeedA,2025-06-26
PRC0000207,79715188913,NADAC,6.1976,384.25,2023-06-16,2024-08-03,PricingFeedB,2025-10-20
PRC0000208,32903672787,WAC,0.2164,12.12,2025-04-29,2025-09-02,PricingFeedB,2025-01-18
PRC0000209,36069903176,WAC,16.1215,628.74,2023-04-08,2024-06-06,PricingFeedB,2026-01-27
PRC0000210,43701205518,NADAC,3.272,265.03,2025-09-17,2027-02-05,PricingFeedB,2026-03-09
PRC0000211,59002120957,MAC,5.3088,58.4,2024-01-18,2025-10-27,PricingFeedA,2026-06-10
PRC0000212,35021253272,WAC,20.5157,1066.82,2024-12-07,2025-08-23,PricingFeedB,2026-04-12
PRC0000213,59778965268,WAC,11.8044,649.24,2023-07-21,2025-04-10,PricingFeedA,2025-01-24
PRC0000214,18554568464,MAC,11.383,182.13,2026-05-03,2028-04-09,PricingFeedB,2025-10-09
PRC0000215,56133530192,NADAC,6.4038,115.27,2023-09-02,2024-12-31,PricingFeedA,2025-10-11
PRC0000216,20641978938,MAC,0.7139,21.42,2025-04-13,2026-07-29,PricingFeedB,2025-03-06
PRC0000217,44151264671,AWP,2.7225,65.34,2024-07-14,2024-11-13,PricingFeedB,2025-12-04
PRC0000218,54705453523,AWP,3.3578,245.12,2024-12-08,2026-02-01,PricingFeedB,2026-05-13
PRC0000219,98697873751,WAC,13.9925,349.81,2024-04-16,2025-12-07,PricingFeedA,2025-12-14
PRC0000220,66586455165,MAC,11.1072,444.29,2024-04-29,2026-02-07,PricingFeedA,2025-05-29
PRC0000221,44211207023,NADAC,25.8795,2070.36,2026-04-02,2026-10-11,PricingFeedA,2025-11-30
PRC0000222,64943476728,AWP,3.0133,177.78,2025-06-25,2027-06-11,PricingFeedA,2026-04-15
PRC0000223,84458290728,AWP,3.4747,191.11,2025-12-02,2026-08-25,PricingFeedB,2025-04-28
PRC0000224,25094254121,MAC,12.1476,983.96,2026-05-11,2026-12-09,PricingFeedB,2025-07-10
PRC0000225,27388983519,NADAC,19.0849,1278.69,2023-02-24,2023-10-19,PricingFeedB,2026-01-30
PRC0000226,15947426010,Contract Rate,21.3839,983.66,2024-05-07,2025-06-17,PricingFeedA,2025-03-24
PRC0000227,54293312163,NADAC,2.0084,162.68,2025-05-20,2026-11-15,PricingFeedB,2026-05-09
PRC0000228,24721435259,NADAC,4.8205,115.69,2023-07-31,2025-01-25,PricingFeedA,2025-04-06
PRC0000229,43240994052,Contract Rate,52.5603,1892.17,2025-09-30,2027-03-07,PricingFeedA,2026-07-06
PRC0000230,14612321460,AWP,6.4516,316.13,2023-05-05,2024-12-02,PricingFeedA,2025-05-21
PRC0000231,70317814977,Contract Rate,1.5423,47.81,2025-07-20,2027-05-10,PricingFeedA,2026-07-13
PRC0000232,65966563490,MAC,5.8417,93.47,2025-12-22,2026-06-24,PricingFeedB,2026-08-15
PRC0000233,77447650355,Contract Rate,9.0795,136.19,2025-06-23,2026-06-12,PricingFeedA,2025-08-28
PRC0000234,99024156725,Contract Rate,20.4932,635.29,2025-11-14,2027-08-29,PricingFeedB,2025-01-24
PRC0000235,97829657184,WAC,40.7045,3989.04,2024-10-13,2025-05-31,PricingFeedA,2025-12-15
PRC0000236,40081577678,NADAC,11.5589,1086.54,2025-02-02,2026-10-25,PricingFeedA,2026-02-05
PRC0000237,38649367251,MAC,11.4531,572.65,2024-08-13,2026-05-20,PricingFeedB,2025-07-27
PRC0000238,45395582883,NADAC,11.0436,817.23,2023-07-21,2024-03-20,PricingFeedA,2025-10-12
PRC0000239,25975107640,WAC,33.1814,2720.87,2023-08-28,2024-12-15,PricingFeedB,2026-05-11
PRC0000240,21137610492,WAC,12.6401,543.52,2024-04-16,2025-12-16,PricingFeedB,2025-03-07
PRC0000241,37677228163,MAC,13.6188,544.75,2024-11-05,2025-06-08,PricingFeedB,2026-01-30
PRC0000242,18032796468,WAC,8.8191,493.87,2026-01-11,2027-03-13,PricingFeedB,2025-03-07
PRC0000243,79480401968,Contract Rate,4.8997,49.0,2023-09-21,2024-02-02,PricingFeedB,2026-08-13
PRC0000244,99603627774,NADAC,7.1801,452.35,2026-05-22,2026-09-13,PricingFeedA,2025-05-28
PRC0000245,48836820566,AWP,2.5339,119.09,2025-05-30,2026-04-15,PricingFeedA,2025-12-20
PRC0000246,68335772779,MAC,15.1479,1348.16,2026-03-29,2027-01-04,PricingFeedA,2026-02-10
PRC0000247,25871240147,AWP,20.8421,2042.53,2023-01-29,2024-03-27,PricingFeedB,2026-05-16
PRC0000248,23809467884,MAC,7.1487,164.42,2023-10-15,2025-09-16,PricingFeedA,2025-11-10
PRC0000249,92131319328,AWP,2.1896,41.6,2023-06-29,2024-01-09,PricingFeedA,2026-06-08
PRC0000250,76954397631,WAC,9.5408,801.43,2024-03-25,2024-10-13,PricingFeedA,2026-07-13
PRC0000251,20662343885,NADAC,5.7693,242.31,2025-01-01,2026-10-20,PricingFeedA,2026-01-17
PRC0000252,73921220685,NADAC,0.4781,19.12,2024-07-06,2026-01-25,PricingFeedA,2025-07-26
PRC0000253,49954258793,AWP,4.8923,141.88,2025-08-04,2026-09-14,PricingFeedB,2026-06-09
