Pharmacy_Source_ID,NPI,NCPDP_ID,Pharmacy_Name,Pharmacy_Type,Address,City,State,ZIP,Network_Status,Effective_Date,End_Date,Source_System
PHM00024,1403237378,2005936,CVS Pharmacy #8673,Mail Order,2511 Main St,Houston,TX,76791,Preferred,2024-06-04,,ProviderMaster
PHM00025,0116526716,7189103,Regional Specialty Pharmacy #9986,Mail Order,7609 Lake St,Rochester,NY,69370,Preferred,2022-01-12,,NetworkHub
PHM00026,6617861973,4353881,Regional Specialty Pharmacy #7741,Retail,6291 Market St,Dallas,TX,96874,Out of Network,2023-02-12,,ProviderMaster
PHM00027,7928544728,8082463,Community Pharmacy #8918,Mail Order,8018 Market St,King of Prussia,PA,08127,Preferred,2024-06-01,,ProviderMaster
PHM00028,3872090747,6647026,Community Pharmacy #7295,Independent,7081 Lake St,Kansas City,MO,35454,In Network,2024-12-25,,NetworkHub
PHM00029,7372211157,1247952,Wellness Rx #7807,Retail,6476 Lake St,Rochester,TEX,11210,Preferred,2022-12-13,,ProviderMaster
PHM00030,5295618485,4410948,HealthMart #3072,Mail Order,2098 Pine St,Springfield,MO,40601,In Network,2022-02-07,,ProviderMaster
PHM00031,5391767254,4893667,Regional Specialty Pharmacy #4845,Hospital,1236 Oak St,Pittsburgh,PA,92261,In Network,2022-12-23,,NetworkHub
PHM00032,1004522774,6976694,MedCenter Pharmacy #2556,Specialty,5300 Market St,Colorado Springs,CO,56980,Preferred,2024-10-01,,ProviderMaster
PHM00033,1375216695,4004320,Community Pharmacy #3410,Hospital,6255 Market St,Fresno,CA,98599,In Network,2025-06-15,,ProviderMaster
PHM00034,6207469156,4033683,Regional Specialty Pharmacy #4785,Retail,2064 Oak St,Durham,NC,62985,In Network,2022-04-06,,ProviderMaster
PHM00035,4339459654,1376725,Wellness Rx #1589,Mail Order,1143 Park St,Chico,CA,94619,Out of Network,2025-04-03,,NetworkHub
PHM00036,6215509941,8475289,Premier Pharmacy #7874,Hospital,9948 Park St,Philadelphia,PA,25395,In Network,2025-03-08,,ProviderMaster
PHM00037,8827495822,5941535,Walgreens #6267,Independent,8432 Market St,Sacramento,CA,54316,In Network,2022-09-04,,ProviderMaster
PHM00038,5270778368,9405588,CarePoint #6055,Mail Order,403 Oak St,Raleigh,NC,45474,Preferred,2023-11-17,,ProviderMaster
PHM00039,6149366888,3377800,Community Pharmacy #3766,Independent,4739 Lake St,King of Prussia,PA,69974,In Network,2021-04-17,,NetworkHub
PHM00040,0684690723,1557108,Wellness Rx #2964,Mail Order,1282 Pine St,Kansas City,MO,62914,In Network,2020-12-05,,NetworkHub
PHM00041,2208961435,6428134,Family Drug #4452,Retail,306 Lake St,Colorado Springs,CO,25592,In Network,2021-03-24,,NetworkHub
PHM00042,9625670649,2763666,CarePoint #7872,Hospital,9601 Pine St,Austin,TX,76869,In Network,2022-12-15,,NetworkHub
PHM00043,6345702711,5959828,CVS Pharmacy #7441,Independent,9611 Main St,Sacramento,CA,48731,Out of Network,2025-02-02,,ProviderMaster
PHM00044,9198799837,0546658,Wellness Rx #8487,Mail Order,372 Lake St,Sacramento,CA,91208,In Network,2024-08-30,,NetworkHub
PHM00045,,3408146,Wellness Rx #9609,Retail,2138 Lake St,Buffalo,NY,79471,In Network,2024-03-20,,NetworkHub
PHM00046,4044903498,0659331,Regional Specialty Pharmacy #4701,Specialty,8824 Market St,Rochester,NY,18466,In Network,2023-10-24,,ProviderMaster
PHM00047,5072150722,8319081,CVS Pharmacy #7221,Independent,5715 Main St,Chico,FLO,12160,In Network,2023-04-25,,NetworkHub
PHM00048,0723107574,7515907,Wellness Rx #5985,Hospital,7998 Park St,Pittsburgh,PA,85490,Preferred,2024-08-30,,NetworkHub
PHM00049,4464900602,6539546,CarePoint #7050,Retail,1475 Lake St,Sacramento,CA,07867,In Network,2021-11-12,,ProviderMaster
PHM00050,7242344046,3190800,Wellness Rx #8211,Hospital,8190 Market St,Denver,CO,78555,In Network,2025-04-07,,NetworkHub
PHM00051,3136787963,5262183,HealthMart #8554,Specialty,6012 Oak St,Durham,NC,75889,In Network,2021-05-15,,ProviderMaster
PHM00052,8660982173,3085416,Wellness Rx #3997,Hospital,6589 Park St,Tampa,FL,07243,Preferred,2025-01-06,,ProviderMaster
PHM00053,3775001662,6442714,CVS Pharmacy #3813,Independent,8931 Main St,Springfield,MO,26460,In Network,2021-01-03,,NetworkHub
PHM00054,3503212307,1375880,Wellness Rx #3746,Hospital,6554 Park St,Kansas City,MO,80098,In Network,2022-01-30,,ProviderMaster
PHM00055,5574103868,9082553,Walgreens #5324,Mail Order,2187 Market St,Fort Collins,CO,33315,In Network,2020-07-05,,NetworkHub
PHM00056,1593788211,6761747,Community Pharmacy #3157,Independent,242 Main St,Colorado Springs,CO,74956,In Network,2020-12-07,,NetworkHub
PHM00057,6861043205,3408088,Family Drug #2314,Specialty,841 Lake St,Fresno,CA,65457,In Network,2022-02-02,,ProviderMaster
PHM00058,8486341018,3751244,HealthMart #3916,Specialty,563 Lake St,Springfield,MO,51324,Out of Network,2023-03-19,,NetworkHub
PHM00059,3576006276,9835139,HealthMart #6816,Hospital,3688 Pine St,Durham,NC,63593,In Network,2020-01-30,,ProviderMaster
PHM00060,3786876564,3312942,CVS Pharmacy #5437,Specialty,8290 Market St,Durham,NC,10817,Preferred,2022-01-07,,ProviderMaster
PHM00061,8803713187,8144624,Walgreens #4094,Specialty,5392 Park St,Sacramento,CA,27453,In Network,2023-11-17,,NetworkHub
PHM00062,8483994235,9881268,Family Drug #9636,Mail Order,9087 Park St,Colorado Springs,CO,51882,In Network,2023-06-07,,ProviderMaster
PHM00063,7291492430,0529309,Regional Specialty Pharmacy #725,Independent,3637 Lake St,Springfield,MO,86712,In Network,2020-06-07,,NetworkHub
PHM00064,8617400285,7512304,Wellness Rx #1648,Mail Order,703 Main St,Kansas City,MO,74195,Preferred,2022-12-29,,ProviderMaster
PHM00065,0521462460,9055953,MedCenter Pharmacy #1046,Independent,3927 Lake St,Buffalo,NY,46920,Preferred,2025-07-10,,NetworkHub
PHM00066,7376773058,1746680,Wellness Rx #1292,Hospital,680 Park St,San Antonio,TX,74201,Preferred,2020-12-08,,ProviderMaster
PHM00067,0959527137,8313878,Premier Pharmacy #4692,Independent,5215 Park St,King of Prussia,PA,39449,In Network,2023-11-11,,ProviderMaster
PHM00068,5870685306,3646308,CVS Pharmacy #8722,Hospital,1601 Lake St,Irving,TX,39299,Out of Network,2020-09-13,,NetworkHub
PHM00069,0638691670,0733566,Community Pharmacy #579,Mail Order,2669 Main St,Houston,TX,93755,In Network,2025-06-28,,ProviderMaster
PHM00070,3621743522,4929418,CarePoint #9131,Retail,2916 Lake St,Fresno,CA,48406,In Network,2021-04-27,,NetworkHub
PHM00071,8330588796,7512170,Walgreens #7531,Hospital,8228 Park St,Fort Collins,CO,53856,In Network,2022-10-18,,NetworkHub
PHM00072,0397578096,4638761,Wellness Rx #1051,Specialty,2734 Pine St,Buffalo,NY,94901,In Network,2023-01-05,,NetworkHub
PHM00073,1137398826,5135519,Regional Specialty Pharmacy #7727,Specialty,2705 Main St,St. Louis,MO,16768,In Network,2025-08-14,,NetworkHub
PHM00074,5800656746,4629486,HealthMart #8100,Retail,8878 Lake St,King of Prussia,PA,20044,In Network,2023-10-24,,NetworkHub
PHM00075,2637789135,3422023,CarePoint #8310,Specialty,9553 Park St,Irving,TX,62813,In Network,2024-10-06,,NetworkHub
PHM00076,5374543095,9230486,Wellness Rx #1450,Specialty,9193 Main St,Tampa,FL,45848,In Network,2020-04-20,,NetworkHub
PHM00077,7734515057,2961937,Regional Specialty Pharmacy #1314,Mail Order,7081 Market St,Dallas,TX,39715,In Network,2025-05-02,,NetworkHub
PHM00078,5013446536,1972385,Walgreens #1999,Retail,427 Main St,Jacksonville,FL,72836,In Network,2023-06-09,,ProviderMaster
PHM00079,9577604977,5751668,Regional Specialty Pharmacy #5255,Mail Order,1179 Oak St,Miami,FL,16091,In Network,2020-03-16,,ProviderMaster
PHM00080,0316479870,1236531,Walgreens #1253,Retail,6200 Main St,Philadelphia,PA,93377,Out of Network,2023-08-23,,ProviderMaster
PHM00081,6661252922,2733972,Walgreens #643,Mail Order,325 Market St,Sacramento,CA,16398,In Network,2023-03-20,,ProviderMaster
PHM00082,9822734242,5961652,Wellness Rx #8461,Specialty,8367 Lake St,Philadelphia,PA,65604,Out of Network,2022-07-30,,NetworkHub
PHM00083,7170594984,1936905,CVS Pharmacy #527,Specialty,9375 Market St,Charlotte,NC,57991,In Network,2023-02-05,,NetworkHub
PHM00084,8199349998,0519295,HealthMart #9524,Mail Order,4174 Main St,Boulder,CO,49841,In Network,2024-07-29,,ProviderMaster
PHM00085,1142177571,8885061,Regional Specialty Pharmacy #4692,Retail,2375 Main St,Houston,TX,13222,In Network,2020-10-17,,ProviderMaster
PHM00086,7937066013,4587319,Premier Pharmacy #756,Specialty,3246 Market St,Austin,TX,26211,In Network,2021-06-20,,ProviderMaster
PHM00087,7645456227,8047050,CVS Pharmacy #1120,Specialty,3396 Market St,St. Louis,MO,55513,Preferred,2021-10-06,,NetworkHub
PHM00088,5125058454,0487387,Regional Specialty Pharmacy #2544,Specialty,9572 Market St,Los Angeles,CA,50309,In Network,2021-02-21,,NetworkHub
PHM00089,9090477964,9389366,CVS Pharmacy #7557,Retail,7838 Main St,Colorado Springs,CO,56315,In Network,2021-08-05,,ProviderMaster
PHM00090,5720026558,2329718,Community Pharmacy #7754,Hospital,3330 Lake St,King of Prussia,XX,47802,Preferred,2025-07-06,,ProviderMaster
PHM00091,1057074228,0528735,MedCenter Pharmacy #2074,Specialty,9350 Oak St,Buffalo,NY,63316,In Network,2021-04-05,,NetworkHub
PHM00092,2309896449,9673413,Wellness Rx #527,Specialty,139 Oak St,Columbia,MO,74837,Preferred,2025-08-03,,NetworkHub
PHM00093,8959512269,8071266,Community Pharmacy #2051,Mail Order,2861 Park St,Springfield,MO,81775,Preferred,2023-11-01,,ProviderMaster
PHM00094,4839099194,2629573,Premier Pharmacy #3522,Retail,7014 Market St,Pittsburgh,PA,53254,In Network,2025-11-20,,ProviderMaster
PHM00095,8330588796,2954133,CarePoint #7857,Mail Order,2328 Park St,Fort Collins,CO,84662,Preferred,2023-07-20,,NetworkHub
PHM00096,8964171749,5600896,Premier Pharmacy #4364,Retail,463 Park St,Raleigh,NC,74827,Preferred,2023-03-02,,ProviderMaster
PHM00097,0536664405,0529086,CVS Pharmacy #973,Hospital,315 Lake St,King of Prussia,PA,89101,In Network,2024-03-31,,ProviderMaster
PHM00098,1582334592,6868703,Walgreens #8413,Specialty,1446 Park St,Albany,NY,50014,In Network,2021-03-03,,ProviderMaster
PHM00099,4758050288,4009850,CarePoint #4784,Hospital,6096 Main St,Orlando,FL,93957,In Network,2025-10-15,,ProviderMaster
PHM00100,7301283837,1975904,CarePoint #5032,Specialty,5631 Pine St,Fort Walton Beach,FL,83793,In Network,2021-02-11,,ProviderMaster
PHM00101,7029439466,0677017,Community Pharmacy #883,Specialty,9250 Main St,Pittsburgh,PA,67310,Preferred,2023-02-14,,NetworkHub
PHM00102,3321145403,0533230,Community Pharmacy #3881,Hospital,6026 Park St,Colorado Springs,CO,99951,In Network,2021-06-26,,ProviderMaster
PHM00103,3134044402,2651139,Family Drug #3828,Retail,5443 Pine St,Columbia,MO,36833,In Network,2025-06-26,,NetworkHub
PHM00104,8891392399,2645238,Walgreens #1544,Mail Order,5146 Market St,Sacramento,CA,31555,In Network,2020-09-05,,NetworkHub
PHM00105,6594742687,4462677,CarePoint #4746,Mail Order,4663 Park St,Los Angeles,CA,09445,In Network,2025-10-11,,ProviderMaster
PHM00106,9657385607,6360963,CarePoint #3585,Retail,843 Market St,New York,NY,79402,Preferred,2022-07-11,,NetworkHub
PHM00107,5555437553,0149191,Wellness Rx #9659,Hospital,320 Oak St,Buffalo,NY,34244,In Network,2021-01-02,,ProviderMaster
PHM00108,4633818661,9211592,Wellness Rx #1002,Specialty,9380 Market St,Dallas,TX,41640,In Network,2025-10-13,,NetworkHub
PHM00109,6153727801,8134285,Regional Specialty Pharmacy #1921,Specialty,4691 Pine St,Denver,CO,65653,In Network,2021-10-08,,ProviderMaster
PHM00110,8687260113,1654131,Premier Pharmacy #6543,Independent,1196 Park St,Springfield,MO,66695,In Network,2022-11-22,,NetworkHub
PHM00111,4134030189,5464840,CVS Pharmacy #6618,Retail,4559 Lake St,Raleigh,NC,07225,In Network,2022-03-21,,ProviderMaster
PHM00112,1477511783,8075918,CVS Pharmacy #8029,Mail Order,469 Oak St,Dallas,TX,72943,In Network,2020-03-02,,NetworkHub
PHM00113,8497285376,1122032,Wellness Rx #8210,Retail,786 Main St,San Antonio,TX,53722,Preferred,2023-12-24,,NetworkHub
PHM00114,8960979981,8278764,CVS Pharmacy #7523,Mail Order,687 Pine St,King of Prussia,PA,52446,In Network,2024-08-14,,ProviderMaster
PHM00115,8052939307,7746305,Walgreens #9969,Independent,2029 Market St,Boulder,CO,24228,In Network,2021-04-07,,ProviderMaster
PHM00116,3554360074,1840926,Community Pharmacy #8917,Mail Order,7224 Park St,Los Angeles,FLO,16192,Out of Network,2025-07-28,,ProviderMaster
PHM00117,6239133626,7041260,CVS Pharmacy #1221,Hospital,3229 Lake St,Durham,NC,ABCDE,In Network,2024-08-02,,NetworkHub
PHM00118,0371381771,9150647,Regional Specialty Pharmacy #2123,Independent,5045 Park St,Fort Collins,CO,61468,In Network,2023-02-17,,NetworkHub
PHM00119,0175393120,5667686,Walgreens #860,Hospital,4525 Park St,Harrisburg,PA,35572,In Network,2020-03-18,,ProviderMaster
PHM00120,0894145599,9185367,Community Pharmacy #8474,Retail,9524 Park St,New York,NY,97002,Preferred,2020-11-30,,NetworkHub
PHM00121,0075654705,6235285,Wellness Rx #3566,Hospital,8818 Pine St,St. Louis,MO,36860,In Network,2025-11-28,,NetworkHub
PHM00122,6780044637,7177195,MedCenter Pharmacy #8665,Specialty,1187 Market St,Austin,TX,77117,In Network,2023-08-02,,ProviderMaster
PHM00123,2870820750,4345321,Wellness Rx #2687,Mail Order,777 Oak St,Albany,NY,57250,In Network,2020-06-25,,ProviderMaster
PHM00124,8243198597,4347203,CarePoint #4747,Independent,7487 Park St,Sacramento,CA,59189,In Network,2022-04-10,,ProviderMaster
PHM00125,9042835025,3645471,CVS Pharmacy #5879,Hospital,5318 Park St,Sacramento,CA,97204,Out of Network,2020-07-22,,ProviderMaster
PHM00126,2388906871,5240970,CarePoint #2911,Independent,6414 Park St,Sacramento,CA,98573,Preferred,2025-09-23,,ProviderMaster
PHM00127,9001805492,2387732,Family Drug #9125,Hospital,6258 Park St,Colorado Springs,CO,02751,Preferred,2022-05-09,,NetworkHub
PHM00128,1445923211,6860830,Regional Specialty Pharmacy #5048,Specialty,3348 Pine St,Buffalo,NY,23562,In Network,2025-08-28,,ProviderMaster
PHM00129,9044724810,8918366,Community Pharmacy #1448,Hospital,9206 Market St,Colorado Springs,CO,52800,In Network,2025-09-01,,ProviderMaster
PHM00130,9419830415,8306121,Family Drug #4382,Specialty,2135 Pine St,Raleigh,NC,28062,Preferred,2023-04-28,,NetworkHub
PHM00131,2450211856,8797354,Walgreens #3189,Independent,3287 Lake St,Raleigh,NC,95313,In Network,2023-11-09,,NetworkHub
PHM00132,2870957991,6289092,Family Drug #8768,Specialty,2984 Lake St,Los Angeles,CA,87388,Preferred,2022-10-11,,NetworkHub
PHM00133,1586907955,1984340,Family Drug #4378,Hospital,6154 Oak St,Buffalo,NY,22509,Preferred,2023-02-12,,NetworkHub
PHM00134,2179830597,8893931,Premier Pharmacy #9763,Specialty,2096 Pine St,Dallas,TX,31197,In Network,2020-10-26,,ProviderMaster
PHM00135,9619697251,3617993,CVS Pharmacy #3833,Hospital,759 Lake St,San Diego,CA,99069,Preferred,2022-10-13,,NetworkHub
PHM00136,9259172918,0768422,Wellness Rx #8154,Independent,1694 Oak St,Fort Walton Beach,FL,02103,In Network,2021-03-31,,NetworkHub
PHM00137,7984351486,6108239,CVS Pharmacy #1266,Hospital,6392 Park St,St. Louis,MO,01375,In Network,2022-09-25,,ProviderMaster
PHM00138,8056409181,1216772,CarePoint #278,Specialty,7608 Market St,Austin,TX,22058,Out of Network,2022-08-09,,ProviderMaster
PHM00139,1342661012,0833460,CVS Pharmacy #1049,Mail Order,3253 Oak St,Springfield,MO,51834,Preferred,2023-09-08,,ProviderMaster
PHM00140,2422076035,9558845,FAMILY DRUG #5324,Hospital,6727 Pine St,Tampa,FL,84840,In Network,2024-09-12,,ProviderMaster
PHM00141,9759866171,9981494,CVS Pharmacy #2394,Specialty,1383 Pine St,Tampa,FL,96829,In Network,2025-07-24,,NetworkHub
PHM00142,9033324876,5441579,Community Pharmacy #1179,Mail Order,9174 Market St,Columbia,MO,95125,In Network,2023-08-06,,NetworkHub
PHM00143,3434602166,0832798,Community Pharmacy #8726,Independent,2523 Market St,Springfield,MO,08324,In Network,2024-03-13,,ProviderMaster
PHM00144,6081948246,1287788,Regional Specialty Pharmacy #8145,Independent,2333 Main St,Harrisburg,PA,51351,Preferred,2020-12-01,,ProviderMaster
PHM00145,8801882497,2856103,Family Drug #3705,Hospital,1216 Oak St,Denver,CO,51853,In Network,2025-07-16,,NetworkHub
PHM00146,1876231598,6624077,HealthMart #6705,Independent,7491 Lake St,Boulder,CO,09660,Preferred,2022-10-31,,ProviderMaster
PHM00147,,6831568,MedCenter Pharmacy #9217,Specialty,1678 Lake St,St. Louis,MO,36621,Preferred,2024-03-21,,NetworkHub
PHM00148,0968278217,8886667,CarePoint #8566,Specialty,2570 Park St,Fort Walton Beach,FL,69243,Out of Network,2024-06-01,,ProviderMaster
PHM00149,6444833126,5888101,CarePoint #717,Hospital,7671 Park St,Rochester,NY,28716,In Network,2023-06-15,,NetworkHub
PHM00150,,4859085,Premier Pharmacy #7923,Specialty,4293 Pine St,Orlando,FL,83208,In Network,2021-06-25,,ProviderMaster
PHM00151,1245943774,6160271,CarePoint #9912,Independent,7957 Lake St,New York,NY,74706,Out of Network,2024-05-30,,ProviderMaster
PHM00152,6493013038,1662631,Walgreens #6624,Mail Order,303 Oak St,Raleigh,NC,35182,In Network,2025-12-12,,ProviderMaster
PHM00153,2753893931,9942717,Regional Specialty Pharmacy #5844,Retail,3316 Park St,Pittsburgh,PA,ABCDE,In Network,2023-12-10,,NetworkHub
PHM00154,8250966064,3541663,CVS Pharmacy #3803,Specialty,5904 Lake St,Sacramento,CA,66261,In Network,2025-06-28,2026-10-12,NetworkHub
PHM00155,8171111125,2720429,Regional Specialty Pharmacy #9197,Hospital,2069 Main St,Kansas City,MO,30698,Out of Network,2021-07-02,,NetworkHub
PHM00156,6105712292,4010283,Regional Specialty Pharmacy #5795,Hospital,7884 Main St,King of Prussia,PA,70708,In Network,2020-11-21,,NetworkHub
PHM00157,6134680814,9238767,CVS Pharmacy #233,Mail Order,6403 Lake St,New York,NY,16091,Preferred,2024-07-16,,NetworkHub
PHM00158,4586133068,9191402,Walgreens #9691,Specialty,4541 Pine St,Los Angeles,CA,37675,In Network,2020-04-07,,NetworkHub
PHM00159,5963570623,6385906,Premier Pharmacy #1970,Specialty,2784 Main St,San Diego,CA,18880,In Network,2021-05-25,,NetworkHub
PHM00160,4290264248,4841461,CarePoint #9923,Specialty,7075 Lake St,Los Angeles,CA,45006,In Network,2020-04-21,,ProviderMaster
PHM00161,6352693024,5646717,CVS Pharmacy #9462,Mail Order,441 Market St,Houston,TX,23892,In Network,2021-08-21,2022-09-08,ProviderMaster
PHM00162,5701177161,9347714,CVS Pharmacy #9236,Hospital,5227 Lake St,Austin,TX,98574,Preferred,2021-07-21,,ProviderMaster
PHM00163,6914509845,9157136,Wellness Rx #525,Hospital,9458 Oak St,Orlando,FL,85399,Preferred,2022-02-19,,NetworkHub
PHM00164,7299414772,7879626,Premier Pharmacy #877,Independent,1683 Main St,Jacksonville,FL,23696,Preferred,2022-04-15,,ProviderMaster
PHM00165,9563134564,7828850,Regional Specialty Pharmacy #6654,Specialty,1375 Pine St,Houston,TX,16171,In Network,2020-08-27,,NetworkHub
PHM00166,2286270818,7875277,Wellness Rx #4437,Independent,6933 Lake St,Springfield,ZZ,26939,In Network,2023-06-14,,ProviderMaster
PHM00167,9350267889,7675679,Regional Specialty Pharmacy #3012,Hospital,413 Market St,Springfield,MO,21611,In Network,2021-08-09,,ProviderMaster
PHM00168,5345152371,1309664,HealthMart #6284,Retail,4490 Park St,Sacramento,CA,53732,Out of Network,2024-07-18,,NetworkHub
PHM00169,1054502233,2759890,Regional Specialty Pharmacy #9479,Hospital,6143 Lake St,Raleigh,NC,64966,In Network,2022-01-23,,NetworkHub
PHM00170,9639935298,3840815,Wellness Rx #134,Retail,9669 Park St,Pittsburgh,PA,91950,In Network,2025-03-08,,ProviderMaster
PHM00171,0678415797,6971430,Family Drug #4131,Mail Order,3142 Lake St,Chico,CA,07552,Out of Network,2024-08-17,,NetworkHub
PHM00172,2364065667,5709173,Regional Specialty Pharmacy #2746,Mail Order,1024 Main St,New York,NY,07436,In Network,2022-05-13,,ProviderMaster
PHM00173,4513759169,7739551,HealthMart #3851,Retail,8260 Lake St,Jacksonville,FL,05593,In Network,2023-08-28,,ProviderMaster
PHM00174,7934651281,1788994,Wellness Rx #1174,Specialty,200 Pine St,Tampa,FL,52007,In Network,2024-04-16,,NetworkHub
PHM00175,4316169346,3553340,CVS Pharmacy #1899,Independent,7256 Main St,St. Louis,MO,22748,In Network,2021-02-01,,ProviderMaster
PHM00176,1784335168,8152800,Walgreens #2742,Mail Order,8103 Pine St,Charlotte,NC,05054,In Network,2021-08-22,,NetworkHub
PHM00177,5955947327,7245356,Walgreens #2082,Independent,9900 Market St,Colorado Springs,CO,88615,In Network,2022-03-23,,NetworkHub
PHM00178,4196974324,0302934,Family Drug #6804,Hospital,698 Market St,Colorado Springs,CO,40937,In Network,2025-04-14,,NetworkHub
PHM00179,5882516368,5395384,HealthMart #4948,Retail,9270 Lake St,Buffalo,NY,46511,Preferred,2020-04-28,,NetworkHub
PHM00180,0621371287,4421800,MedCenter Pharmacy #8199,Mail Order,2140 Lake St,Philadelphia,PA,51605,In Network,2022-01-13,,NetworkHub
PHM00181,0219550762,0498186,Walgreens #3066,Retail,9389 Park St,Orlando,FL,78162,In Network,2024-06-14,,ProviderMaster
PHM00182,7345231285,4104607,Family Drug #6726,Mail Order,5297 Oak St,Springfield,MO,51416,In Network,2023-02-15,,NetworkHub
PHM00183,8876530528,7357760,Premier Pharmacy #5466,Hospital,2579 Pine St,Springfield,MO,14282,In Network,2024-04-18,,ProviderMaster
PHM00184,8417751066,3316284,Regional Specialty Pharmacy #8510,Independent,2625 Lake St,San Diego,CA,32674,Preferred,2024-04-17,,ProviderMaster
PHM00185,7435233778,6746124,CVS Pharmacy #8876,Independent,209 Pine St,Denver,CO,35671,In Network,2023-11-01,,ProviderMaster
PHM00186,9001940200,3965759,Family Drug #6861,Retail,1458 Pine St,Boulder,CO,86426,Preferred,2022-08-13,,ProviderMaster
PHM00187,8205521020,1973355,CarePoint #5911,Hospital,1505 Park St,Orlando,FL,70028,In Network,2020-03-27,,ProviderMaster
PHM00188,9392619524,1029898,Community Pharmacy #3592,Retail,9426 Lake St,St. Louis,MO,85695,In Network,2025-04-26,,NetworkHub
PHM00189,7794450106,9623950,CarePoint #7754,Retail,2007 Park St,Colorado Springs,CO,82068,Preferred,2022-03-19,,NetworkHub
PHM00190,0943829694,1782226,MedCenter Pharmacy #3494,Mail Order,1319 Pine St,Tampa,FL,11966,In Network,2024-05-01,,ProviderMaster
PHM00191,6750464988,4992250,Family Drug #4853,Independent,690 Main St,Austin,TX,74553,In Network,2025-05-05,,NetworkHub
PHM00192,6196460253,6252463,CarePoint #5362,Mail Order,6098 Pine St,Denver,CO,42738,In Network,2020-12-10,,ProviderMaster
PHM00193,2115202243,1918149,Community Pharmacy #888,Hospital,479 Market St,Rochester,NY,85773,Preferred,2023-10-02,,ProviderMaster
PHM00194,5536084643,3592018,Wellness Rx #6289,Specialty,4549 Park St,Fort Collins,CO,91561,In Network,2022-05-12,,NetworkHub
PHM00195,7364783261,1836580,CVS Pharmacy #3307,Mail Order,387 Pine St,Denver,CO,12322,In Network,2021-07-02,,NetworkHub
