Formulary_Record_ID,Plan_ID,NDC,Drug_Name,Formulary_Tier,Coverage_Status,Prior_Authorization_Flag,Step_Therapy_Flag,Quantity_Limit_Flag,Effective_Date,End_Date,Source_System
FRM000019,PLAN003,98076393354,Neurontin,2,Covered,N,N,N,2025-06-21,2027-03-04,FormularyManager
FRM000020,PLAN005,28226964458,Lexapro,5,Covered,N,N,N,2025-08-21,2026-10-15,FormularyManager
FRM000021,PLAN010,93500208178,Cozaar,5,Non-Preferred,N,N,N,2026-02-04,2027-12-20,FormularyManager
FRM000022,PLAN009,42368965233,Zoloft,3,Covered,Y,N,N,2025-09-05,2026-12-07,FormularyManager
FRM000023,PLAN004,80152664967,Lopressor,3,Covered,N,Y,N,2026-04-19,2026-10-20,FormularyManager
FRM000024,PLAN008,18475573796,Protonix,3,Covered,N,N,N,2025-05-30,2026-10-13,FormularyManager
FRM000025,PLAN001,95394474535,Cymbalta,2,Covered,Y,N,N,2024-05-03,2025-09-15,FormularyManager
FRM000026,PLAN013,57938753177,Lopressor,4,Covered,N,Y,N,2026-02-08,2027-11-06,FormularyManager
FRM000027,PLAN020,39077562796,Glucophage,3,Covered,Y,N,N,2025-01-11,2026-01-23,FormularyManager
FRM000028,PLAN004,26670320788,Aldactone,2,Covered,N,Y,Y,2025-08-07,2027-05-26,FormularyManager
FRM000029,PLAN013,51057281520,Singulair,4,Covered,Y,N,N,2024-05-16,2026-04-21,FormularyManager
FRM000030,PLAN013,80158561493,Prinivil,1,Covered,N,Y,N,2025-05-19,2026-02-22,FormularyManager
FRM000031,PLAN019,67141494586,Neurontin,2,Non-Preferred,N,N,Y,2024-06-22,2025-11-25,FormularyManager
FRM000032,PLAN013,85864453239,Lexapro,3,Covered,N,N,N,2024-12-29,2026-11-17,FormularyManager
FRM000033,PLAN001,23817377057,Lexapro,1,Excluded,Y,N,N,2024-04-05,2025-01-09,FormularyManager
FRM000034,PLAN008,32305341731,FORMULARY NAME MISMATCH,4,Covered,N,N,N,2024-09-08,2026-08-21,FormularyManager
FRM000035,PLAN019,54154506357,Prozac,5,Covered,N,N,Y,2025-08-27,2027-01-20,FormularyManager
FRM000036,PLAN010,45865729198,Cymbalta,1,Covered,N,N,N,2026-05-15,2027-11-08,FormularyManager
FRM000037,PLAN019,40427686976,Lipitor,5,Covered,N,N,N,2025-05-12,2026-05-15,FormularyManager
FRM000038,PLAN018,47040255743,Prozac,1,Covered,N,N,Y,2024-03-08,2025-01-15,FormularyManager
FRM000039,PLAN015,59581445583,Prozac,1,Covered,N,N,Y,2024-02-29,2025-05-13,FormularyManager
FRM000040,PLAN013,31553546728,Lasix,4,Non-Preferred,Y,Y,N,2025-11-17,2026-12-11,FormularyManager
FRM000041,PLAN006,23007709819,Vibramycin,1,Non-Preferred,N,N,Y,2025-11-16,2027-07-13,FormularyManager
FRM000042,PLAN001,47494236310,Lipitor,1,Covered,Y,N,Y,2024-01-29,2025-07-31,FormularyManager
FRM000043,PLAN003,29398974548,Lopressor,3,Covered,Y,N,N,2025-11-30,2026-10-03,FormularyManager
FRM000044,PLAN009,84538386197,Aldactone,3,Covered,Y,N,N,2024-08-31,2025-05-14,FormularyManager
FRM000045,PLAN003,39023637631,Cymbalta,2,Covered,Y,Y,Y,2024-04-23,2025-07-04,FormularyManager
FRM000046,PLAN002,64647425595,Wellbutrin,1,,N,N,N,2025-11-25,2027-04-10,FormularyManager
FRM000047,PLAN016,41935957662,Synthroid,4,Non-Preferred,N,N,Y,2025-04-14,2026-03-21,FormularyManager
FRM000048,PLAN008,85922868666,Crestor,1,Covered,N,N,N,2025-03-23,2027-02-24,FormularyManager
FRM000049,PLAN006,59002120957,Cozaar,4,Covered,N,N,Y,2024-07-16,2025-02-22,FormularyManager
FRM000050,PLAN014,12371232115,Ozempic,4,Covered,N,N,N,2025-04-19,2026-11-20,FormularyManager
FRM000051,PLAN018,59002120957,Cozaar,1,Covered,N,N,N,2024-05-30,2026-01-28,FormularyManager
FRM000052,PLAN017,62299475227,Coreg,2,Covered,N,N,N,2025-11-18,2026-09-07,FormularyManager
FRM000053,PLAN004,93961156923,Singulair,5,Covered,N,N,N,2024-05-01,2025-02-24,FormularyManager
FRM000054,PLAN009,49110425221,Ventolin,1,Excluded,N,Y,Y,2025-06-09,2027-01-18,FormularyManager
FRM000055,PLAN020,13658312760,Norvasc,3,Non-Preferred,N,N,N,2025-12-05,2026-10-28,FormularyManager
FRM000056,PLAN016,74794323539,Aldactone,2,Covered,N,N,N,2025-08-22,2026-05-12,FormularyManager
FRM000057,PLAN006,44905932967,Lasix,3,Covered,N,N,N,2026-02-03,2026-10-14,FormularyManager
FRM000058,PLAN017,28226964458,Lexapro,5,Non-Preferred,N,N,N,2025-10-03,2027-07-19,FormularyManager
FRM000059,PLAN012,34030808751,Prilosec,3,Covered,Y,N,Y,2026-02-20,2027-03-14,FormularyManager
FRM000060,PLAN006,70613545988,Plavix,4,Covered,N,N,Y,2025-02-25,2027-01-29,FormularyManager
FRM000061,PLAN016,17888408220,Lantus,2,Non-Preferred,N,N,N,2024-04-22,2024-11-01,FormularyManager
FRM000062,PLAN020,96682671088,Humalog,3,Covered,N,N,N,2026-03-14,2026-09-13,FormularyManager
FRM000063,PLAN018,95141181032,Prilosec,1,Covered,N,N,N,2026-04-17,2027-11-20,FormularyManager
FRM000064,PLAN018,59049568585,Eliquis,1,Excluded,Y,N,Y,2024-12-05,2026-04-21,FormularyManager
FRM000065,PLAN012,71012800477,Norvasc,3,Covered,N,Y,N,2025-09-28,2027-03-25,FormularyManager
FRM000066,PLAN015,27388983519,Vibramycin,5,Covered,Y,Y,Y,2024-03-20,2025-02-17,FormularyManager
FRM000067,PLAN012,92375297554,Lipitor,2,Covered,N,N,N,2024-06-02,2026-04-06,FormularyManager
FRM000068,PLAN020,78234779957,Microzide,2,Covered,Y,N,N,2025-11-18,2026-08-21,FormularyManager
FRM000069,PLAN004,68484176329,Plavix,2,Excluded,N,N,N,2024-12-11,2026-05-07,FormularyManager
FRM000070,PLAN008,77497673240,Lipitor,5,Covered,Y,N,Y,2026-02-17,2027-10-24,FormularyManager
FRM000071,PLAN009,48836820566,Lipitor,3,Covered,N,N,Y,2026-01-23,2027-10-26,FormularyManager
FRM000072,PLAN016,86445320315,Eliquis,2,Covered,N,N,Y,2024-12-22,2025-07-11,FormularyManager
FRM000073,PLAN010,94312952831,Lasix,1,Excluded,N,Y,N,2024-01-21,2025-01-23,FormularyManager
FRM000074,PLAN004,86680432854,Norvasc,4,Covered,N,Y,N,2025-09-29,2027-05-31,FormularyManager
FRM000075,PLAN015,11616709896,Crestor,4,Covered,N,Y,N,2024-02-12,2024-09-23,FormularyManager
FRM000076,PLAN007,61023340877,Lipitor,5,Covered,Y,N,N,2025-10-26,2027-02-27,FormularyManager
FRM000077,PLAN007,49564701468,Synthroid,2,Covered,N,N,N,2024-10-09,2026-04-25,FormularyManager
FRM000078,PLAN005,80158561493,Prinivil,5,Covered,N,N,N,2026-04-16,2027-11-04,FormularyManager
FRM000079,PLAN006,20379513865,Prilosec,4,Covered,N,N,N,2024-11-21,2026-11-04,FormularyManager
FRM000080,PLAN015,81775220884,Zoloft,2,Covered,N,N,N,2025-04-17,2026-10-15,FormularyManager
FRM000081,PLAN020,58801526081,Ozempic,5,Covered,N,N,Y,2024-01-07,2025-08-06,FormularyManager
FRM000082,PLAN020,12859564719,Glucophage,4,Excluded,Y,Y,N,2024-12-01,2026-03-18,FormularyManager
FRM000083,PLAN019,93949757344,Lantus,4,Covered,Y,N,N,2025-12-15,2026-11-25,FormularyManager
FRM000084,PLAN014,72171503347,Cozaar,5,Covered,N,N,N,2024-05-02,2025-07-28,FormularyManager
FRM000085,PLAN011,56758128355,Lasix,3,Excluded,N,N,N,2024-02-17,2024-08-18,FormularyManager
FRM000086,PLAN014,94227785584,Humalog,3,Covered,Y,N,N,2024-10-18,2026-06-13,FormularyManager
FRM000087,PLAN012,57576578668,Zoloft,4,Covered,N,N,N,2024-01-03,2025-03-23,FormularyManager
FRM000088,PLAN011,96012885450,Wellbutrin,3,Covered,N,Y,N,2024-11-21,2026-07-16,FormularyManager
FRM000089,PLAN002,25094254121,Synthroid,1,Non-Preferred,N,N,N,2026-02-03,2027-09-24,FormularyManager
FRM000090,PLAN012,27388983519,Vibramycin,2,Non-Preferred,N,N,N,2024-01-28,2025-11-08,FormularyManager
FRM000091,PLAN020,15035164887,Glucophage,1,Covered,N,N,Y,2025-07-17,2027-05-26,FormularyManager
FRM000092,PLAN008,82097839974,Glucophage,1,Excluded,N,N,N,2024-01-29,2025-10-03,FormularyManager
FRM000093,PLAN013,41322801585,Aldactone,4,Covered,N,Y,Y,2025-01-13,2026-09-19,FormularyManager
FRM000094,PLAN015,19606146745,Microzide,5,Covered,N,Y,N,2026-02-10,2027-10-19,FormularyManager
FRM000095,PLAN014,18199892246,Aldactone,1,Covered,N,N,N,2024-04-14,2026-01-21,FormularyManager
FRM000096,PLAN008,13254104910,Eliquis,4,Non-Preferred,N,N,N,2026-02-24,2026-10-11,FormularyManager
FRM000097,PLAN010,98272669316,Ventolin,5,Covered,N,N,Y,2025-09-19,2026-11-11,FormularyManager
FRM000098,PLAN002,55375584876,Microzide,2,Non-Preferred,N,N,N,2025-09-30,2027-03-10,FormularyManager
FRM000099,PLAN006,75670258359,Cymbalta,3,Covered,N,Y,Y,2024-10-24,2025-06-11,FormularyManager
FRM000100,PLAN003,27517427451,Plavix,4,Covered,N,Y,N,2026-03-06,2026-12-29,FormularyManager
FRM000101,PLAN009,68762387095,Eliquis,3,Covered,Y,N,N,2024-11-18,2025-07-05,FormularyManager
FRM000102,PLAN016,38299381624,Singulair,2,Non-Preferred,N,N,Y,2026-05-26,2027-09-01,FormularyManager
FRM000103,PLAN017,68749757957,Prozac,5,Non-Preferred,N,N,Y,2026-01-08,2027-03-05,FormularyManager
FRM000104,PLAN013,59002120957,Cozaar,2,Covered,N,N,N,2026-01-26,2027-02-13,FormularyManager
FRM000105,PLAN007,92608453526,Ozempic,4,Covered,N,Y,N,2024-11-12,2025-06-18,FormularyManager
FRM000106,PLAN014,68673966287,Ventolin,4,Covered,N,N,Y,2025-08-09,2026-09-30,FormularyManager
FRM000107,PLAN005,76440908482,Lexapro,5,Covered,N,N,N,2024-01-27,2025-11-29,FormularyManager
FRM000108,PLAN009,41577281759,Glucophage,5,Covered,Y,N,N,2024-01-22,2025-08-30,FormularyManager
FRM000109,PLAN012,38750191648,Neurontin,5,Covered,N,N,N,2025-08-07,2027-05-01,FormularyManager
FRM000110,PLAN011,30516747666,Cymbalta,1,Covered,N,N,N,2025-02-11,2027-02-02,FormularyManager
FRM000111,PLAN009,79775467157,Crestor,2,Covered,N,N,N,2025-02-28,2026-06-14,FormularyManager
FRM000112,PLAN010,64140385391,Singulair,1,Non-Preferred,Y,N,N,2025-12-17,2027-08-24,FormularyManager
FRM000113,PLAN018,71492399930,Protonix,4,Excluded,N,N,N,2025-01-17,2026-10-07,FormularyManager
FRM000114,PLAN020,23338670584,Lasix,4,Covered,N,N,Y,2025-06-21,2026-09-04,FormularyManager
FRM000115,PLAN015,49041763570,Synthroid,1,Covered,Y,N,N,2024-08-15,2025-03-06,FormularyManager
FRM000116,PLAN013,84080407924,Prinivil,4,Covered,N,N,N,2025-01-05,2026-09-22,FormularyManager
FRM000117,PLAN014,18077751316,Prinivil,3,Covered,Y,N,N,2024-10-05,2025-05-01,FormularyManager
FRM000118,PLAN003,93243253281,Synthroid,1,Covered,N,N,N,2024-02-14,2024-12-09,FormularyManager
FRM000119,PLAN019,96338320268,Protonix,4,Covered,Y,N,N,2024-11-01,2025-05-27,FormularyManager
FRM000120,PLAN018,92965682838,Wellbutrin,1,Covered,N,N,N,2025-02-11,2026-12-02,FormularyManager
FRM000121,PLAN003,18139712589,Eliquis,5,Covered,Y,N,Y,2025-08-22,2026-10-12,FormularyManager
FRM000122,PLAN004,83727139018,Vibramycin,3,Excluded,N,N,N,2024-05-23,2025-04-13,FormularyManager
FRM000123,PLAN001,76841912411,Neurontin,3,Covered,N,N,N,2026-03-08,2027-03-08,FormularyManager
FRM000124,PLAN020,44047392978,Januvia,3,Covered,N,N,N,2025-01-12,2025-09-19,FormularyManager
FRM000125,PLAN006,98921439381,Synthroid,5,Covered,N,Y,N,2025-10-20,2026-06-21,FormularyManager
FRM000126,PLAN005,84458290728,Humalog,2,Covered,Y,N,N,2025-04-04,2026-03-04,FormularyManager
FRM000127,PLAN008,58914968790,Plavix,1,Non-Preferred,N,N,N,2024-09-16,2025-08-30,FormularyManager
FRM000128,PLAN015,87088473643,Lexapro,1,Covered,Y,Y,Y,2024-01-26,2024-12-01,FormularyManager
FRM000129,PLAN015,94092112525,Neurontin,5,Excluded,N,N,N,2026-04-14,2027-12-22,FormularyManager
FRM000130,PLAN007,47253753474,Protonix,1,Covered,Y,N,N,2026-05-16,2028-03-11,FormularyManager
FRM000131,PLAN016,26940396868,Synthroid,4,Covered,Y,N,N,2024-10-21,2025-04-26,FormularyManager
FRM000132,PLAN019,72982905964,Cozaar,4,Covered,N,N,N,2025-11-21,2027-07-15,FormularyManager
FRM000133,PLAN020,47040255743,Prozac,1,Covered,Y,N,N,2024-04-12,2025-10-06,FormularyManager
FRM000134,PLAN012,40965220919,Norvasc,3,Covered,N,N,N,2024-09-17,2025-06-27,FormularyManager
FRM000135,PLAN007,54458104234,Singulair,3,Non-Preferred,N,N,N,2025-02-19,2025-08-23,FormularyManager
FRM000136,PLAN019,18475573796,Protonix,2,Covered,N,Y,N,2025-09-14,2026-07-02,FormularyManager
FRM000137,PLAN018,89864963195,Zoloft,2,Covered,N,N,N,2024-12-12,2025-10-08,FormularyManager
FRM000138,PLAN018,56084952427,Humalog,2,Non-Preferred,N,N,N,2024-05-13,2025-04-24,FormularyManager
FRM000139,PLAN001,60563234574,FORMULARY NAME MISMATCH,4,Covered,N,N,N,2024-02-26,2024-09-03,FormularyManager
FRM000140,PLAN020,17735727527,Prinivil,3,Covered,N,Y,N,2026-01-25,2026-11-26,FormularyManager
FRM000141,PLAN012,37452117788,Januvia,5,Covered,N,N,N,2025-02-24,2025-09-30,FormularyManager
FRM000142,PLAN002,40972267118,Lantus,2,Covered,Y,N,N,2024-12-23,2025-08-06,FormularyManager
FRM000143,PLAN002,40423439442,Coreg,2,Covered,Y,N,Y,2024-05-21,2025-08-23,FormularyManager
FRM000144,PLAN010,37929930922,Prinivil,3,Non-Preferred,N,N,N,2025-11-26,2027-07-29,FormularyManager
FRM000145,PLAN012,38999870858,Jardiance,1,Covered,Y,N,N,2026-01-15,2027-07-18,FormularyManager
FRM000146,PLAN007,63060557974,Ozempic,5,Covered,N,N,Y,2024-08-12,2026-04-28,FormularyManager
FRM000147,PLAN014,89213285573,Januvia,5,Covered,N,Y,Y,2025-11-16,2026-11-12,FormularyManager
FRM000148,PLAN013,59912899015,Lantus,1,Covered,N,N,N,2025-02-18,2026-12-11,FormularyManager
FRM000149,PLAN017,74737938088,Ventolin,3,Covered,N,N,Y,2025-07-04,2026-03-30,FormularyManager
FRM000150,PLAN001,42576948965,Lexapro,3,Covered,N,N,N,2025-01-06,2026-10-13,FormularyManager
FRM000151,PLAN017,24959442831,Humalog,5,,N,N,N,2026-01-08,2026-12-21,FormularyManager
FRM000152,PLAN015,87088473643,Lexapro,2,Covered,N,N,N,2025-09-08,2027-03-17,FormularyManager
FRM000153,PLAN002,60844107060,Ventolin,4,Covered,N,N,N,2025-08-28,2027-05-02,FormularyManager
FRM000154,PLAN006,66292157738,Protonix,2,Non-Preferred,N,N,N,2024-09-03,2025-03-21,FormularyManager
FRM000155,PLAN002,69347757174,Humalog,1,Excluded,N,N,N,2025-09-12,2027-08-31,FormularyManager
FRM000156,PLAN004,55066490222,Cozaar,1,Covered,N,N,N,2025-09-07,2026-03-18,FormularyManager
FRM000157,PLAN019,74966631014,Cozaar,1,Covered,N,N,N,2024-10-23,2026-01-03,FormularyManager
FRM000158,PLAN001,48967225613,Neurontin,2,Non-Preferred,N,N,N,2025-02-26,2027-02-13,FormularyManager
FRM000159,PLAN014,84702528484,Prinivil,2,Non-Preferred,N,N,N,2025-07-09,2026-04-26,FormularyManager
FRM000160,PLAN014,37085218953,Jardiance,3,Covered,N,N,N,2025-05-13,2026-10-24,FormularyManager
FRM000161,PLAN003,29471563846,Coreg,2,Covered,N,N,N,2025-04-08,2026-11-02,FormularyManager
FRM000162,PLAN020,25904761313,Jardiance,3,Covered,N,N,N,2025-09-11,2027-02-09,FormularyManager
FRM000163,PLAN020,99511771384,Cozaar,1,Covered,N,N,N,2026-01-29,2027-03-23,FormularyManager
FRM000164,PLAN016,48239826657,Lexapro,3,Covered,N,N,N,2024-02-18,2026-01-21,FormularyManager
FRM000165,PLAN005,63011707032,Ozempic,4,Covered,N,N,N,2024-05-01,2025-11-24,FormularyManager
FRM000166,PLAN016,51269588679,Zoloft,2,Covered,N,N,N,2025-06-01,2026-09-19,FormularyManager
FRM000167,PLAN006,26262248157,Aldactone,3,Covered,N,N,N,2025-04-02,2026-05-05,FormularyManager
FRM000168,PLAN007,25094254121,Synthroid,2,Covered,N,N,N,2025-09-19,2026-10-11,FormularyManager
FRM000169,PLAN003,15426453054,Zoloft,3,Covered,N,N,N,2026-04-11,2026-11-13,FormularyManager
FRM000170,PLAN001,26884937862,Norvasc,1,Covered,N,N,N,2024-06-29,2025-07-03,FormularyManager
FRM000171,PLAN013,80870713084,Synthroid,5,Covered,N,Y,Y,2024-08-29,2026-05-27,FormularyManager
FRM000172,PLAN002,17266624267,UNKNOWN BRAND DRG00969,5,Excluded,N,N,N,2025-05-06,2027-01-10,FormularyManager
FRM000173,PLAN015,21904569624,Wellbutrin,5,Covered,N,N,N,2024-11-18,2026-11-10,FormularyManager
FRM000174,PLAN006,48632631955,Protonix,5,Covered,N,N,N,2026-05-03,2028-04-18,FormularyManager
FRM000175,PLAN019,93949757344,Lantus,1,Covered,Y,N,Y,2025-07-21,2026-09-09,FormularyManager
FRM000176,PLAN003,30516747666,Cymbalta,4,,N,N,N,2026-02-20,2027-07-20,FormularyManager
FRM000177,PLAN005,84047590849,Microzide,5,Covered,N,N,N,2026-05-12,2027-03-07,FormularyManager
FRM000178,PLAN002,67041360337,Coreg,1,Covered,N,N,Y,2025-05-26,2026-01-08,FormularyManager
FRM000179,PLAN019,78929224734,Norvasc,5,Covered,N,Y,N,2025-06-06,2026-09-18,FormularyManager
FRM000180,PLAN013,58257248865,Synthroid,5,Covered,Y,N,N,2026-02-20,2027-11-26,FormularyManager
FRM000181,PLAN002,29471563846,Coreg,3,Covered,N,N,N,2024-01-29,2024-08-16,FormularyManager
FRM000182,PLAN010,95305350218,Prozac,1,Covered,N,N,N,2025-12-21,2026-12-01,FormularyManager
FRM000183,PLAN002,20641978938,Zoloft,1,Excluded,N,N,N,2026-03-20,2027-01-10,FormularyManager
FRM000184,PLAN006,38112790984,Neurontin,2,Covered,N,Y,N,2026-05-20,2026-12-07,FormularyManager
FRM000185,PLAN003,77393477110,Lantus,1,Covered,Y,Y,N,2025-08-18,2026-06-26,FormularyManager
FRM000186,PLAN013,38721413264,Norvasc,1,Covered,N,Y,Y,2025-07-09,2026-06-10,FormularyManager
FRM000187,PLAN013,38649367251,Aldactone,5,Covered,Y,N,Y,2025-04-05,2026-06-08,FormularyManager
FRM000188,PLAN013,47253753474,Protonix,4,Covered,N,N,Y,2025-07-30,2026-01-31,FormularyManager
FRM000189,PLAN012,92809819256,Wellbutrin,4,Covered,Y,Y,N,2024-04-16,2024-12-01,FormularyManager
FRM000190,PLAN002,33667709457,Protonix,5,Non-Preferred,N,N,N,2024-05-07,2025-03-05,FormularyManager
FRM000191,PLAN011,88995939535,Ventolin,5,Covered,N,Y,N,2024-07-17,2025-05-02,FormularyManager
FRM000192,PLAN013,82100899412,Singulair,5,Covered,Y,N,N,2025-11-13,2026-10-21,FormularyManager
FRM000193,PLAN011,86890799081,Norvasc,1,Covered,N,N,Y,2025-03-11,2026-07-06,FormularyManager
FRM000194,PLAN019,36527120523,Prilosec,3,Covered,N,N,N,2025-04-12,2026-08-18,FormularyManager
FRM000195,PLAN014,98795104473,Vibramycin,5,Covered,Y,N,Y,2025-03-23,2026-01-27,FormularyManager
FRM000196,PLAN002,34198319284,Aldactone,1,Covered,Y,N,N,2025-07-13,2027-01-24,FormularyManager
FRM000197,PLAN015,32345951358,Glucophage,4,Covered,Y,N,N,2025-06-09,2027-04-08,FormularyManager
FRM000198,PLAN014,64540939887,Lopressor,5,Excluded,Y,N,N,2025-11-23,2027-01-22,FormularyManager
FRM000199,PLAN001,63116718685,Prilosec,5,Non-Preferred,N,N,N,2025-11-27,2026-11-15,FormularyManager
FRM000200,PLAN003,98697873751,Prilosec,5,Covered,N,N,N,2025-05-19,2026-02-23,FormularyManager
FRM000201,PLAN011,25092429310,Jardiance,2,Covered,N,N,Y,2026-03-01,2026-09-13,FormularyManager
FRM000202,PLAN014,34030808751,Prilosec,1,Non-Preferred,N,Y,N,2024-06-25,2025-09-25,FormularyManager
FRM000203,PLAN008,25904761313,Jardiance,4,Non-Preferred,N,N,Y,2026-01-26,2027-05-18,FormularyManager
FRM000204,PLAN015,24959442831,Humalog,2,,N,N,N,2024-11-14,2026-08-27,FormularyManager
FRM000205,PLAN020,18077751316,Prinivil,3,Covered,N,Y,N,2026-05-02,2027-03-02,FormularyManager
FRM000206,PLAN015,25245820746,Ventolin,3,Covered,N,Y,N,2026-03-30,2027-02-09,FormularyManager
FRM000207,PLAN006,15420255680,Humalog,4,Covered,N,N,Y,2024-12-22,2026-10-30,FormularyManager
FRM000208,PLAN004,80701649845,Lipitor,1,Covered,N,Y,N,2024-05-04,2024-11-04,FormularyManager
FRM000209,PLAN008,36163874460,FORMULARY NAME MISMATCH,5,Covered,Y,N,Y,2025-01-30,2026-02-05,FormularyManager
FRM000210,PLAN003,65812527931,Microzide,2,Covered,N,Y,N,2025-02-14,2026-07-14,FormularyManager
FRM000211,PLAN019,62840208185,Crestor,4,Covered,N,N,N,2026-05-13,2027-09-28,FormularyManager
FRM000212,PLAN016,40965220919,Norvasc,4,Covered,N,Y,N,2025-11-28,2027-01-21,FormularyManager
FRM000213,PLAN001,60986106546,Singulair,1,Excluded,N,N,N,2024-01-02,2024-08-16,FormularyManager
FRM000214,PLAN017,24616800293,FORMULARY NAME MISMATCH,1,Covered,N,N,N,2025-10-06,2027-08-16,FormularyManager
FRM000215,PLAN008,79510138828,Lasix,4,Covered,Y,N,Y,2024-07-31,2025-05-08,FormularyManager
FRM000216,PLAN004,95762624064,Humalog,2,Covered,N,N,N,2026-05-27,2027-07-21,FormularyManager
FRM000217,PLAN013,77096329537,Zoloft,4,Non-Preferred,N,N,N,2025-07-03,2027-06-27,FormularyManager
FRM000218,PLAN003,29398974548,Lopressor,2,Non-Preferred,N,Y,N,2025-12-10,2027-05-14,FormularyManager
FRM000219,PLAN009,92387647216,Jardiance,5,Covered,Y,N,N,2026-04-24,2027-10-03,FormularyManager
FRM000220,PLAN001,99511771384,Cozaar,1,Covered,N,N,N,2025-10-23,2027-01-16,FormularyManager
FRM000221,PLAN014,50389239682,Ozempic,2,Covered,N,N,N,2025-10-12,2027-09-20,FormularyManager
FRM000222,PLAN011,66359510772,Januvia,3,Covered,Y,N,N,2025-09-04,2026-09-19,FormularyManager
FRM000223,PLAN017,95762624064,Humalog,3,Covered,N,N,N,2025-11-17,2026-11-06,FormularyManager
FRM000224,PLAN013,60844107060,Ventolin,3,Covered,Y,N,N,2024-06-08,2025-01-02,FormularyManager
FRM000225,PLAN003,97074469738,Wellbutrin,2,Covered,Y,N,Y,2024-07-08,2026-04-07,FormularyManager
FRM000226,PLAN006,68762387095,Eliquis,5,Covered,Y,N,N,2024-02-01,2024-10-25,FormularyManager
FRM000227,PLAN015,11616709896,Crestor,2,Non-Preferred,N,Y,N,2024-02-21,2024-09-19,FormularyManager
FRM000228,PLAN016,22287685065,Wellbutrin,4,Covered,N,Y,N,2024-07-17,2025-07-11,FormularyManager
FRM000229,PLAN004,59002120957,Cozaar,1,Covered,N,N,N,2024-10-01,2025-10-03,FormularyManager
FRM000230,PLAN019,76324394748,Glucophage,4,Covered,N,Y,N,2024-01-24,2025-12-19,FormularyManager
FRM000231,PLAN010,68912388929,Cymbalta,5,Covered,N,N,N,2025-04-16,2026-05-31,FormularyManager
FRM000232,PLAN015,28309735158,Aldactone,1,Covered,Y,N,N,2025-02-05,2027-01-10,FormularyManager
FRM000233,PLAN020,96688660979,Januvia,3,Covered,Y,N,N,2026-01-20,2027-04-25,FormularyManager
FRM000234,PLAN012,81681687310,Coreg,5,Covered,N,Y,N,2025-06-09,2026-10-15,FormularyManager
FRM000235,PLAN014,24959442831,Humalog,4,Covered,Y,Y,N,2026-01-07,2027-02-17,FormularyManager
FRM000236,PLAN013,85922868666,Crestor,2,Covered,Y,N,Y,2024-11-14,2025-09-24,FormularyManager
FRM000237,PLAN019,78211193483,UNKNOWN BRAND DRG00226,4,Covered,Y,N,Y,2025-04-02,2026-05-19,FormularyManager
FRM000238,PLAN019,11590371650,Lasix,5,Non-Preferred,N,N,N,2024-02-21,2024-10-07,FormularyManager
FRM000239,PLAN008,86713966277,Jardiance,1,Non-Preferred,Y,N,N,2024-02-08,2025-02-17,FormularyManager
FRM000240,PLAN003,62995547857,Cymbalta,5,Covered,Y,N,N,2026-01-01,2027-07-16,FormularyManager
